Cycle,IF,ID,EX,MEM,WB,Event
218,"LW   t3, 0(t0)","BUBBLE","BZERO t2, PART2","BUBBLE","BUBBLE",""
219,"LW   t3, 0(t0)","BUBBLE","BUBBLE","BZERO t2, PART2","BUBBLE",""
220,"LW   t3, 0(t0)","BUBBLE","BUBBLE","BUBBLE","BZERO t2, PART2",""
221,"LW   t4, 0(t1)","LW   t3, 0(t0)","BUBBLE","BUBBLE","BUBBLE",""
222,"LW   t4, 0(t1)","BUBBLE","LW   t3, 0(t0)","BUBBLE","BUBBLE",""
223,"LW   t4, 0(t1)","BUBBLE","BUBBLE","LW   t3, 0(t0)","BUBBLE",""
224,"LW   t4, 0(t1)","BUBBLE","BUBBLE","BUBBLE","LW   t3, 0(t0)",""
225,"ZMUL t3, t3, t4","LW   t4, 0(t1)","BUBBLE","BUBBLE","BUBBLE",""
226,"ZMUL t3, t3, t4","BUBBLE","LW   t4, 0(t1)","BUBBLE","BUBBLE",""
227,"ZMUL t3, t3, t4","BUBBLE","BUBBLE","LW   t4, 0(t1)","BUBBLE",""
228,"ZMUL t3, t3, t4","BUBBLE","BUBBLE","BUBBLE","LW   t4, 0(t1)",""
229,"ADD  t5, t5, t3","ZMUL t3, t3, t4","BUBBLE","BUBBLE","BUBBLE",""
230,"ADD  t5, t5, t3","BUBBLE","ZMUL t3, t3, t4","BUBBLE","BUBBLE",""
231,"ADD  t5, t5, t3","BUBBLE","BUBBLE","ZMUL t3, t3, t4","BUBBLE",""
232,"ADD  t5, t5, t3","BUBBLE","BUBBLE","BUBBLE","ZMUL t3, t3, t4",""
233,"ADDI t0, t0, 1","ADD  t5, t5, t3","BUBBLE","BUBBLE","BUBBLE",""
234,"ADDI t0, t0, 1","BUBBLE","ADD  t5, t5, t3","BUBBLE","BUBBLE",""
235,"ADDI t0, t0, 1","BUBBLE","BUBBLE","ADD  t5, t5, t3","BUBBLE",""
236,"ADDI t0, t0, 1","BUBBLE","BUBBLE","BUBBLE","ADD  t5, t5, t3",""
237,"ADDI t1, t1, 1","ADDI t0, t0, 1","BUBBLE","BUBBLE","BUBBLE",""
238,"ADDI t1, t1, 1","BUBBLE","ADDI t0, t0, 1","BUBBLE","BUBBLE",""
239,"ADDI t1, t1, 1","BUBBLE","BUBBLE","ADDI t0, t0, 1","BUBBLE",""
240,"ADDI t1, t1, 1","BUBBLE","BUBBLE","BUBBLE","ADDI t0, t0, 1",""
241,"ADDI t2, t2, -1","ADDI t1, t1, 1","BUBBLE","BUBBLE","BUBBLE",""
242,"ADDI t2, t2, -1","BUBBLE","ADDI t1, t1, 1","BUBBLE","BUBBLE",""
243,"ADDI t2, t2, -1","BUBBLE","BUBBLE","ADDI t1, t1, 1","BUBBLE",""
244,"ADDI t2, t2, -1","BUBBLE","BUBBLE","BUBBLE","ADDI t1, t1, 1",""
245,"JMP  LOOP_ZMUL","ADDI t2, t2, -1","BUBBLE","BUBBLE","BUBBLE",""
